Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$16.98,-0.2742,-1.589%,34780457.00,United States,,1650,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.5326,0.0016,0.301%,73084122.00,Canada,2015,757286,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$41.91,-0.52,-1.226%,145994617.00,United States,1988,6015,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$12.54,-0.04,-0.318%,19385385.00,United States,,207663,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.72,0.00,0.00%,139725000.00,United States,2021,93,,
AE,Adams Resources & Energy Inc. Common Stock,$28.05,-0.05,-0.178%,119240971.00,United States,,5991,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$9.165,0.085,0.936%,465140045.00,United States,,29094,,
AGE,AgeX Therapeutics Inc. Common Stock,$1.45,0.10,7.407%,55005878.00,,2018,197585,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.13,0.05,2.404%,84539726.00,United States,,288137,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$24.99,-1.51,-5.698%,75210979.00,United States,2014,79171,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.24,-0.01,-0.80%,39726558.00,United States,,53922,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.19,0.01,0.459%,50859837.00,China,,145610,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.75,0.04,2.339%,342455974.00,United States,,918258,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$3.13,0.05,1.623%,18157130.00,United States,,2816786,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$63.98,3.33,5.491%,444486271.00,United States,2020,835337,Consumer Durables,Specialty Chemicals
APT,Alpha Pro Tech Ltd. Common Stock,$7.99,-0.03,-0.374%,106524685.00,Canada,,180250,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.04,-0.11,-2.651%,100759386.00,United States,,2184,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.29,-0.02,-1.527%,130119777.00,Canada,,1541629,,
ASXC,Asensus Surgical Inc. Common Stock,$2.99,0.29,10.741%,697330246.00,United States,,16383187,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.30,-0.20,-2.353%,167617413.00,United States,,243894,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.7211,-0.0021,-0.29%,117156837.00,United States,,381801,,
AWX,Avalon Holdings Corporation Common Stock,$4.44,0.01,0.226%,17313474.00,United States,,48356,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.95,0.05,1.724%,420279933.00,Canada,,975895,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$12.51,-0.09,-0.714%,203507638.00,,,12987,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$31.28,0.24,0.773%,172596346.00,United States,,10399,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.7095,-0.0302,-0.117%,,United States,,2573,,
BDL,Flanigan's Enterprises Inc. Common Stock,$35.50,5.895,19.912%,65981969.00,United States,,53278,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.34,0.05,3.876%,16027077.00,United States,,1175626,Capital Goods,Industrial Machinery/Components
BGI,Birks Group Inc. Common Stock,$3.40,0.34,11.111%,61100995.00,Canada,,1132882,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$29.97,-0.35,-1.154%,448809741.00,United States,,16286,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$3.30,-0.70,-17.50%,41370354.00,United States,,412224,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$13.30,0.31,2.386%,162265027.00,,2018,67483,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$17.55,1.00,6.042%,490208250.00,,,42603,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$9.65,0.13,1.366%,273021023.00,,2014,277921,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.67,0.00,0.00%,,,,99,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.36,-0.05,-0.197%,,,,4163,,
BRN,Barnwell Industries Inc. Common Stock,$3.25,-0.01,-0.307%,26900770.00,United States,,181556,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$5.03,0.09,1.822%,5291302107.00,Canada,,4004340,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$5.00,-0.07,-1.381%,91507720.00,United States,,62454,Miscellaneous,Industrial Machinery/Components
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,$16.25,-2.59,-13.747%,676207009.00,United States,,3917923,,
BWL/A,Bowl America Inc.,$8.80,0.04,0.457%,,United States,,1574,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.09,0.01,0.481%,35930325.00,Israel,,95713,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$102.22,-2.05,-1.966%,965812484.00,United States,,21149,Basic Industries,Paints/Coatings
CDOR,Condor Hospitality Trust Inc. Common Stock,$4.6843,0.1043,2.277%,56337842.00,United States,,31689,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$0.6701,0.0059,0.888%,28178228.00,United States,,5069316,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$42.17,0.115,0.273%,1106557795.00,United States,,47525,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.62,0.00,0.00%,97159292.00,United States,1999,23060,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.015,0.01,0.10%,107944725.00,,2020,807,,
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$9.89,0.00,0.00%,118027260.00,,2021,862,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.55,-0.01,-0.281%,185682498.00,United States,,790505,,
CIX,CompX International Inc. Common Stock,$20.65,-1.21,-5.535%,256083892.00,United States,1998,11380,Miscellaneous,Diversified Manufacture
CKX,CKX Lands Inc. Common Stock,$13.225,0.00,0.00%,25689496.00,United States,,21,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$11.61,0.11,0.957%,901776970.00,United States,1987,855538,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$14.34,-0.09,-0.624%,173783922.00,Canada,,40091,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$12.72,-0.45,-3.417%,107922547.00,United States,,14321,Consumer Durables,Electronic Components
COHN,Cohen & Company Inc.,$22.53,-0.55,-2.383%,29898144.00,United States,,13734,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.75,0.0122,1.654%,32684668.00,China,,1982475,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$41.94,0.04,0.095%,20299845899.00,United States,2007,79475,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$11.25,0.06,0.536%,461740590.00,United States,,328480,,
CTEK,CynergisTek Inc. Common Stock,$1.81,0.03,1.685%,21938463.00,United States,2017,32093,Technology,Retail: Computer Software & Peripheral Equipment
CVM,Cel-Sci Corporation Common Stock,$24.72,0.48,1.98%,1011210979.00,United States,,551501,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$25.9026,0.1332,0.517%,25025331.00,United States,,1276,Consumer Non-Durables,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.84,0.05,1.319%,46964302.00,United States,,112996,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.52,0.01,0.398%,260838653.00,United States,1998,717302,,
DIT,AMCON Distributing Company Common Stock,$134.00,-3.00,-2.19%,73883446.00,United States,,775,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$30.41,-0.08,-0.262%,212099411.00,United States,,13689,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$9.16,-0.01,-0.109%,190088384.00,United States,1988,12817,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.37,0.09,7.031%,1102720440.00,Canada,,16063874,Basic Industries,Other Metals and Minerals
DPW,Ault Global Holdings Inc. Common Stock,$2.74,-0.02,-0.725%,136382234.00,United States,,1560884,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$2.87,-0.01,-0.347%,79413259.00,United States,,668749,Consumer Services,Recreational Products/Toys
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.61,0.03,1.899%,33615491.00,China,,86730,Consumer Non-Durables,Apparel
DXR,Daxor Corporation Common Stock,$13.15,3.59,37.552%,53045483.00,United States,,177689,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.79,0.02,0.228%,532552821.00,United States,2003,148775,,
ECF,Ellsworth Growth and Income Fund Ltd.,$14.11,-0.02,-0.142%,190477352.00,United States,1986,33381,,
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.15,0.03,0.115%,,United States,,338,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.62,0.02,0.147%,980002366.00,United States,2002,89130,,
ELA,Envela Corporation Common Stock,$5.12,-0.16,-3.03%,137852831.00,United States,,70442,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$28.41,0.07,0.247%,364768121.00,Israel,,2811,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$10.94,0.14,1.296%,94493375.00,United States,2011,140328,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$3.57,0.07,2.00%,258007209.00,United States,,1965434,Capital Goods,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$3.43,-0.03,-0.867%,293766288.00,Canada,,147661,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$1.47,0.04,2.797%,16806107.00,United States,,152258,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.80,0.00,0.00%,231914163.00,United States,2002,11672,,
EPM,Evolution Petroleum Corporation Inc. Common Stock,$4.40,0.36,8.911%,147432789.00,United States,,389594,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$8.93,0.10,1.133%,2668958063.00,Canada,,1073913,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$13.00,-0.01,-0.077%,365717144.00,United States,2003,69620,,
ERH,Wells Fargo Utilities and High Income Fund,$14.29,0.21,1.491%,132502739.00,,2004,18024,,
ESP,Espey Mfg. & Electronics Corp. Common Stock,$14.95,0.062,0.416%,40404363.00,United States,,824,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$38.03,0.31,0.822%,206639960.00,United States,,22541,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$29.78,-0.93,-3.028%,365048392.00,United States,,6619,Capital Goods,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.85,0.00,0.00%,296182917.00,United States,2002,46591,,
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$13.01,0.02,0.154%,1511072704.00,United States,2003,384153,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$15.05,0.00,0.00%,81297511.00,United States,1999,4477,,
EXN,Excellon Resources Inc. Common Shares,$2.85,0.05,1.786%,92290450.00,,2020,35902,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.32,0.02,0.465%,1070045718.00,United States,1986,350871,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.50,0.14,1.675%,74258652.00,United States,1992,42122,,
FEN,First Trust Energy Income and Growth Fund,$14.55,-0.07,-0.479%,282933044.00,United States,2004,95780,,
FRD,Friedman Industries Inc. Common Stock,$14.05,0.04,0.286%,97027178.00,United States,,94554,Basic Industries,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.37,0.08,2.432%,41504064.00,Canada,,9699,Capital Goods,Recreational Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$5.30,-0.11,-2.033%,568839455.00,United States,,253587,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.18,-0.02,-0.217%,276674505.00,United States,2003,145875,,
FTSI,FTS International Inc. Class A Common Stock,$27.62,-0.05,-0.181%,386402971.00,United States,2020,43539,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.41,0.05,3.676%,166282334.00,,2020,141251,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$1.29,0.01,0.781%,289828326.00,Canada,,490774,Basic Industries,Precious Metals
GBR,New Concept Energy Inc Common Stock,$5.17,0.14,2.783%,26532099.00,United States,,406599,Consumer Services,Real Estate
GDP,Goodrich Petroleum Corporation Common Stock,$11.38,-0.39,-3.314%,152518072.00,United States,2017,40843,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.16,0.00,0.00%,640557362.00,United States,2005,706020,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.55,0.00,0.00%,,United States,,96,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$16.40,-0.06,-0.365%,25370013.00,,2016,24829,,
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,$40.78,0.00,0.00%,,,,20,,
GLDG,GoldMining Inc. Common Shares,$1.66,-0.02,-1.19%,248188891.00,,,519810,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.40,0.10,0.813%,399582709.00,United States,2006,163404,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.35,-0.01,-0.065%,203093225.00,United States,2005,69008,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$22.20,0.01,0.045%,119293432.00,United States,2004,13155,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$52.2485,0.1735,0.333%,,United States,,1000,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.59,-0.01,-0.086%,97615083.00,United States,2004,33756,,
GOED,1847 Goedeker Inc. Commom Stock,$2.66,0.10,3.906%,16255792.00,United States,2020,24848361,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$2.86,0.04,1.418%,212896126.00,United States,,1425768,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.6879,0.0033,0.482%,244479508.00,Canada,,3020014,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.9132,-0.2468,-2.694%,36315238.00,United States,,4183,,
GROY,Gold Royalty Corp. Common Shares,$4.87,0.0947,1.983%,202695960.00,,2021,52306,,
GSAT,Globalstar Inc. Common Stock,$1.17,-0.03,-2.50%,2096640000.00,United States,2006,31476063,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.46,0.12,3.593%,396835922.00,United States,,245111,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.609,0.0078,1.297%,217703009.00,Canada,,632168,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.7118,0.0087,1.237%,261217472.00,Canada,,3212046,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$27.205,-0.045,-0.165%,,United States,,18732,,
HMG,HMG/Courtland Properties Inc. Common Stock,$11.7987,0.00,0.00%,11884217.00,United States,,7,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Fund Inc.,$15.09,0.02,0.133%,125741801.00,United States,2007,62156,,
HUSA,Houston American Energy Corporation Common Stock,$1.73,0.05,2.976%,17167375.00,United States,,136537,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$77.00,0.81,1.063%,,United States,,1706,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$6.58,0.06,0.92%,153340919.00,United States,,58123,,
IBIO,iBio Inc. Common Stock,$1.40,-0.01,-0.709%,304990482.00,United States,,2927324,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$5.80,-0.11,-1.861%,192406045.00,United States,2017,46997,Miscellaneous,Diversified Commercial Services
IGC,India Globalization Capital Inc. Common Stock,$1.39,-0.02,-1.418%,63059189.00,United States,,543890,Technology,Engineering & Construction
